                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.41184,                0.51291,                0.84061,                0.73483,                      1,                  0.995,                0.96183,                0.39512,                 2.0598,                0.97165,             0.00035065,             0.00035065,             0.00035065
                     61,                0.40441,                0.51908,                0.84523,                0.73483,                      1,                  0.995,                0.96183,                0.39512,                 2.0598,                0.97165,              0.0003481,              0.0003481,              0.0003481
                     62,                0.35293,                0.46299,                0.83721,                0.73483,                      1,                  0.995,                0.96183,                0.39512,                 2.0598,                0.97165,             0.00034528,             0.00034528,             0.00034528
                     63,                 0.3769,                0.54945,                0.78223,                 0.7789,                      1,                  0.995,                0.92867,                0.42149,                 1.2864,                0.98296,             0.00034217,             0.00034217,             0.00034217
                     64,                 0.3874,                0.53046,                0.80371,                 0.7789,                      1,                  0.995,                0.92867,                0.42149,                 1.2864,                0.98296,             0.00033877,             0.00033877,             0.00033877
                     65,                0.27626,                0.40309,                0.78852,                 0.7789,                      1,                  0.995,                0.92867,                0.42149,                 1.2864,                0.98296,             0.00033509,             0.00033509,             0.00033509
                     66,                0.37963,                0.45631,                0.86237,                0.90819,                      1,                  0.995,                0.92867,                0.42537,                 1.4879,                0.98764,             0.00033114,             0.00033114,             0.00033114
                     67,                0.35031,                0.52128,                0.75143,                0.90819,                      1,                  0.995,                0.92867,                0.42537,                 1.4879,                0.98764,             0.00032689,             0.00032689,             0.00032689
                     68,                  0.338,                0.43821,                0.82537,                0.90819,                      1,                  0.995,                0.92867,                0.42537,                 1.4879,                0.98764,             0.00032237,             0.00032237,             0.00032237
                     69,                0.32183,                0.43215,                0.82471,                0.88975,                      1,                  0.995,                0.87373,                0.39332,                 1.9373,                0.98041,             0.00031756,             0.00031756,             0.00031756
                     70,                0.34031,                0.48175,                0.88099,                0.88975,                      1,                  0.995,                0.87373,                0.39332,                 1.9373,                0.98041,             0.00031247,             0.00031247,             0.00031247
                     71,                0.34203,                0.42809,                0.88318,                0.88975,                      1,                  0.995,                0.87373,                0.39332,                 1.9373,                0.98041,             0.00030709,             0.00030709,             0.00030709
                     72,                0.38578,                0.46723,                0.89565,                0.88786,                      1,                  0.995,                0.96183,                0.36244,                 1.4233,                0.96623,             0.00030143,             0.00030143,             0.00030143
                     73,                0.32094,                0.45653,                0.85632,                0.88786,                      1,                  0.995,                0.96183,                0.36244,                 1.4233,                0.96623,             0.00029549,             0.00029549,             0.00029549
                     74,                0.31996,                0.43641,                0.78407,                0.88786,                      1,                  0.995,                0.96183,                0.36244,                 1.4233,                0.96623,             0.00028927,             0.00028927,             0.00028927
                     75,                0.34007,                0.71497,                0.84675,                0.93224,                      1,                  0.995,                0.95085,                0.36856,                 1.1493,                 0.9547,             0.00028276,             0.00028276,             0.00028276
                     76,                0.35587,                0.37358,                0.78423,                0.93224,                      1,                  0.995,                0.95085,                0.36856,                 1.1493,                 0.9547,             0.00027598,             0.00027598,             0.00027598
                     77,                0.34058,                0.39988,                0.82473,                0.93224,                      1,                  0.995,                0.95085,                0.36856,                 1.1493,                 0.9547,              0.0002689,              0.0002689,              0.0002689
                     78,                0.47656,                0.65868,                0.91652,                0.93727,                      1,                  0.995,                0.92867,                0.40134,                 1.4344,                0.96089,             0.00026155,             0.00026155,             0.00026155
                     79,                0.39793,                0.38757,                0.76241,                0.93727,                      1,                  0.995,                0.92867,                0.40134,                 1.4344,                0.96089,             0.00025391,             0.00025391,             0.00025391
                     80,                0.36389,                0.50909,                0.84084,                0.93727,                      1,                  0.995,                0.92867,                0.40134,                 1.4344,                0.96089,             0.00024599,             0.00024599,             0.00024599
                     81,                0.34948,                0.41921,                0.83465,                0.93681,                      1,                  0.995,                0.97302,                0.38188,                 1.4904,                0.95805,             0.00023779,             0.00023779,             0.00023779
                     82,                0.26073,                0.37748,                0.84137,                0.93681,                      1,                  0.995,                0.97302,                0.38188,                 1.4904,                0.95805,              0.0002293,              0.0002293,              0.0002293
                     83,                0.32188,                0.38531,                0.88128,                0.93681,                      1,                  0.995,                0.97302,                0.38188,                 1.4904,                0.95805,             0.00022053,             0.00022053,             0.00022053
                     84,                0.26891,                0.38927,                0.75532,                0.89536,                      1,                  0.995,                  0.995,                0.32449,                 1.5563,                 0.9518,             0.00021148,             0.00021148,             0.00021148
                     85,                0.27669,                0.33548,                0.80543,                0.89536,                      1,                  0.995,                  0.995,                0.32449,                 1.5563,                 0.9518,             0.00020214,             0.00020214,             0.00020214
                     86,                0.29289,                0.42169,                0.82147,                0.89536,                      1,                  0.995,                  0.995,                0.32449,                 1.5563,                 0.9518,             0.00019252,             0.00019252,             0.00019252
                     87,                0.27485,                0.30465,                0.74358,                0.89536,                      1,                  0.995,                  0.995,                0.32449,                 1.5563,                 0.9518,             0.00018262,             0.00018262,             0.00018262
                     88,                0.30947,                0.40753,                0.81687,                0.93765,                      1,                  0.995,                  0.995,                0.29515,                 1.2733,                0.94056,             0.00017244,             0.00017244,             0.00017244
                     89,                0.25845,                0.32169,                0.80736,                0.93765,                      1,                  0.995,                  0.995,                0.29515,                 1.2733,                0.94056,             0.00016197,             0.00016197,             0.00016197
                     90,                0.27173,                 0.3352,                0.81638,                0.93765,                      1,                  0.995,                  0.995,                0.29515,                 1.2733,                0.94056,             0.00015122,             0.00015122,             0.00015122
                     91,                0.27301,                0.50291,                 0.8443,                0.93765,                      1,                  0.995,                  0.995,                0.29515,                 1.2733,                0.94056,             0.00014018,             0.00014018,             0.00014018
                     92,                0.29274,                0.46131,                0.81211,                0.94958,                      1,                  0.995,                  0.995,                0.27292,                0.79684,                0.93218,             0.00012887,             0.00012887,             0.00012887
                     93,                0.26258,                0.42082,                0.75647,                0.94958,                      1,                  0.995,                  0.995,                0.27292,                0.79684,                0.93218,             0.00011727,             0.00011727,             0.00011727
                     94,                0.22175,                0.37622,                0.79124,                0.94958,                      1,                  0.995,                  0.995,                0.27292,                0.79684,                0.93218,             0.00010539,             0.00010539,             0.00010539
                     95,                 0.2666,                0.42907,                0.83062,                0.94958,                      1,                  0.995,                  0.995,                0.27292,                0.79684,                0.93218,             9.3222e-05,             9.3222e-05,             9.3222e-05
                     96,                 0.2525,                 0.4156,                0.70572,                0.96264,                      1,                  0.995,                  0.995,                 0.2551,                0.62706,                0.92959,             8.0774e-05,             8.0774e-05,             8.0774e-05
                     97,                0.20778,                0.36968,                 0.7638,                0.96264,                      1,                  0.995,                  0.995,                 0.2551,                0.62706,                0.92959,             6.8043e-05,             6.8043e-05,             6.8043e-05
                     98,                0.27168,                 0.3973,                0.81588,                0.96264,                      1,                  0.995,                  0.995,                 0.2551,                0.62706,                0.92959,             5.5029e-05,             5.5029e-05,             5.5029e-05
                     99,                 0.2476,                0.40718,                0.72341,                0.96264,                      1,                  0.995,                  0.995,                 0.2551,                0.62706,                0.92959,             4.1733e-05,             4.1733e-05,             4.1733e-05
                    100,                0.23716,                0.39254,                0.75535,                0.97002,                      1,                  0.995,                  0.995,                0.24121,                0.53953,                 0.9271,             2.8153e-05,             2.8153e-05,             2.8153e-05
